African American,DPSTBLFC,DPSTBLFP,SPSTBLFC,SPSTBLFP,,,,,,,,,,,,
Hispanic,DPSTHIFC,DPSTHIFP,SPSTHIFC,SPSTHIFP,,,,,,,,,,,,
White,DPSTWHFC,DPSTWHFP,SPSTWHFC,SPSTWHFP,,,,,,,,,,,,
American Indian,DPSTINFC,DPSTINFP,SPSTINFC,SPSTINFP,,,,,,,,,,,,
Asian,DPSTASFC,DPSTASFP,SPSTASFC,SPSTASFP,,,,,,,,,,,,
Pacific Islander,DPSTPIFC,DPSTPIFP,SPSTPIFC,SPSTPIFP,,,,,,,,,,,,
Two or More Races,DPSTTWFC,DPSTTWFP,SPSTTWFC,SPSTTWFP,,,,,,,,,,,,
Males Females,DPSTMAFC DPSTFEFC,DPSTMAFP DPSTFEFP,SPSTMAFC SPSTFEFC,SPSTMAFP SPSTFEFP,,,,,,,,,,,,
Teachers by Highest Degree Held:,,,,,,,,,,,,,,,,
No Degree,DPSTNOFC,DPSTNOFP,SPSTNOFC,SPSTNOFP,,,,,,,,,,,,
Bachelors Masters Doctorate,DPSTBAFC DPSTMSFC DPSTPHFC,DPSTBAFP DPSTMSFP DPSTPHFP,SPSTBAFC SPSTMSFC SPSTPHFC,SPSTBAFP SPSTMSFP SPSTPHFP,,,,,,,,,,,,
Teachers by Years of Experience:,,,,,,,,,,,,,,,,
Beginning Teachers,DPST00FC,DPST00FP,SPST00FC,SPST00FP,,,,,,,,,,,,
1-5 Years Experience,DPST01FC,DPST01FP,SPST01FC,SPST01FP,,,,,,,,,,,,
6-10 Years Experience,DPST06FC,DPST06FP,SPST06FC,SPST06FP,,,,,,,,,,,,
11-20 Years Experience,DPST11FC,DPST11FP,SPST11FC,SPST11FP,,,,,,,,,,,,
Over 20 Years Experience,DPST20FC,DPST20FP,SPST20FC,SPST20FP,,,,,,,,,,,,
Number of Students per Teacher,DPSTKIDR,N/A,SPSTKIDR,N/A,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Staff Information,District,State,,,,,,,,,,,,,,
Experience of Campus Leadership :,,,,,,,,,,,,,,,,
Average Years Experience of Principals,DPSHEXPA,SPSHEXPA,,,,,,,,,,,,,,
Average Years Experience of Principals with District,DPSHTENA,SPSHTENA,,,,,,,,,,,,,,
Average Years Experience of Assistant Principals,DPSLEXPA,SPSLEXPA,,,,,,,,,,,,,,
Average Years Experience of Assistant Principals with District,DPSLTENA,SPSLTENA,,,,,,,,,,,,,,
Average Years Experience of Teachers:,DPSTEXPA,SPSTEXPA,,,,,,,,,,,,,,
Average Years Experience of Teachers with District:,DPSTTENA,SPSTTENA,,,,,,,,,,,,,,
Average Teacher Salary by Years of Experience (regular duties only): Beginning Teachers,DPST00SA,SPST00SA,,,,,,,,,,,,,,
1-5 Years Experience,DPST01SA,SPST01SA,,,,,,,,,,,,,,
6-10 Years Experience,DPST06SA,SPST06SA,,,,,,,,,,,,,,
11-20 Years Experience,DPST11SA,SPST11SA,,,,,,,,,,,,,,
Over 20 Years Experience,DPST20SA,SPST20SA,,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,,,,,,,,,,,,,,,,
Teachers,DPSTTOSA,SPSTTOSA,,,,,,,,,,,,,,
Professional Support,DPSUTOSA,SPSUTOSA,,,,,,,,,,,,,,
Campus Administration (School Leadership),DPSSTOSA,SPSSTOSA,,,,,,,,,,,,,,
Central Administration,DPSCTOSA,SPSCTOSA,,,,,,,,,,,,,,
Instructional Staff Percent:,DPSAINHP,SPSAINHP,,,,,,,,,,,,,,
Turnover Rate for Teachers:,DPSTURNR,SPSTURNR,,,,,,,,,,,,,,
Staff Exclusions:,,,,,,,,,,,,,,,,
Shared Services Arrangement Staff:,,,,,,,,,,,,,,,,
Professional Staff,DPSPCOFC,SPSPCOFC,,,,,,,,,,,,,,
Educational Aides,DPSECOFC,SPSECOFC,,,,,,,,,,,,,,
Auxiliary Staff,DPSXCOFC,SPSXCOFC,,,,,,,,,,,,,,
Contracted Instructional Staff:,DPSOTOFC,SPSOTOFC,,,,,,,,,,,,,,
Instructional Expenditure Ratio (download only),DPFEIERP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Program Information,"---------------- District
Count","----------------
Percent","----------------- Count
State","Percent
-----------------",,,,,,,,,,,,
Student Enrollment by Program:,,,,,,,,,,,,,,,,
Bilingual/ESL Education,DPETBILC,DPETBILP,SPETBILC,SPETBILP,,,,,,,,,,,,
Career & Technical Education Gifted & Talented Education,DPETVOCC DPETGIFC,"DPETVOCP DPETGIFP
:unselected:",SPETVOCC SPETGIFC,SPETVOCP SPETGIFP,,,,,,,,,,,,
Special Education,DPETSPEC,DPETSPEP,SPETSPEC,SPETSPEP,,,,,,,,,,,,
Teachers by Program (population served):,,,,,,,,,,,,,,,,
Bilingual/ESL Education,DPSTBIFC,DPSTBIFP,SPSTBIFC,SPSTBIFP,,,,,,,,,,,,
Career & Technical Education,DPSTVOFC,DPSTVOFP,SPSTVOFC,SPSTVOFP,,,,,,,,,,,,
Compensatory Education,DPSTCOFC,DPSTCOFP,SPSTCOFC,SPSTCOFP,,,,,,,,,,,,
Gifted & Talented Education,DPSTGIFC,DPSTGIFP,SPSTGIFC,SPSTGIFP,,,,,,,,,,,,
Regular Education,"DPSTREFC
:unselected:",DPSTREFP,SPSTREFC,SPSTREFP,,,,,,,,,,,,
Special Education,DPSTSPFC,DPSTSPFP,SPSTSPFC,SPSTSPFP,,,,,,,,,,,,
Other,DPSTOPFC,DPSTOPFP,SPSTOPFC,SPSTOPFP,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
Grade 3 Reading,2017 2016,SA03ARE1S17R SA03ARE1S16R,"DA03ARE1S17R DA03ARE1S16R
:unselected:
:unselected:","CA03ARE1S17R CA03ARE1S16R
:unselected:
:unselected:","CB03ARE1S17R CB03ARE1S16R
:unselected:
:unselected:","CH03ARE1S17R CH03ARE1S16R
:unselected:
:unselected:",CW03ARE1S17R CW03ARE1S16R,CI03ARE1S17R CI03ARE1S16R,C303ARE1S17R C303ARE1S16R,C403ARE1S17R C403ARE1S16R,C203ARE1S17R C203ARE1S16R,CS03ARE1S17R CS03ARE1S16R,CE03ARE1S17R CE03ARE1S16R,CL03ARE1S17R CL03ARE1S16R,,
Mathematics,2017 2016,SA03AMA1S17R SA03AMA1S16R,"DA03AMA1S17R DA03AMA1S16R
:unselected:
:unselected:","CA03AMA1S17R CA03AMA1S16R
:unselected:
:unselected:","CB03AMA1S17R CB03AMA1S16R
:unselected:
:unselected:","CH03AMA1S17R CH03AMA1S16R
:unselected:
:unselected:",CW03AMA1S17R CW03AMA1S16R,CI03AMA1S17R CI03AMA1S16R,C303AMA1S17R C303AMA1S16R,C403AMA1S17R C403AMA1S16R,C203AMA1S17R C203AMA1S16R,CS03AMA1S17R CS03AMA1S16R,CE03AMA1S17R CE03AMA1S16R,CL03AMA1S17R CL03AMA1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
Grade 4,,,,,,,,,,,,,,,,
Reading,2017 2016,SA04ARE1S17R SA04ARE1S16R,"DA04ARE1S17R DA04ARE1S16R
:unselected:
:unselected:","CA04ARE1S17R CA04ARE1S16R
:unselected:
:unselected:","CB04ARE1S17R CB04ARE1S16R
:unselected:
:unselected:","CH04ARE1S17R CH04ARE1S16R
:unselected:
:unselected:",CW04ARE1S17R CW04ARE1S16R,CI04ARE1S17R CI04ARE1S16R,C304ARE1S17R C304ARE1S16R,C404ARE1S17R C404ARE1S16R,C204ARE1S17R C204ARE1S16R,CS04ARE1S17R CS04ARE1S16R,CE04ARE1S17R CE04ARE1S16R,CL04ARE1S17R CL04ARE1S16R,,
Mathematics,2017 2016,SA04AMA1S17R SA04AMA1S16R,"DA04AMA1S17R DA04AMA1S16R
:unselected:
:unselected:","CA04AMA1S17R CA04AMA1S16R
:unselected:
:unselected:","CB04AMA1S17R CB04AMA1S16R
:unselected:
:unselected:","CH04AMA1S17R CH04AMA1S16R
:unselected:
:unselected:",CW04AMA1S17R CW04AMA1S16R,CI04AMA1S17R CI04AMA1S16R,C304AMA1S17R C304AMA1S16R,C404AMA1S17R C404AMA1S16R,C204AMA1S17R C204AMA1S16R,CS04AMA1S17R CS04AMA1S16R,CE04AMA1S17R CE04AMA1S16R,CL04AMA1S17R CL04AMA1S16R,,
Writing,2017 2016,SA04AWR1S17R SA04AWR1S16R,"DA04AWR1S17R DA04AWR1S16R
:unselected:
:unselected:","CA04AWR1S17R CA04AWR1S16R
:unselected:
:unselected:","CB04AWR1S17R CB04AWR1S16R
:unselected:
:unselected:","CH04AWR1S17R CH04AWR1S16R
:unselected:
:unselected:",CW04AWR1S17R CW04AWR1S16R,CI04AWR1S17R CI04AWR1S16R,C304AWR1S17R C304AWR1S16R,C404AWR1S17R C404AWR1S16R,C204AWR1S17R C204AWR1S16R,CS04AWR1S17R CS04AWR1S16R,CE04AWR1S17R CE04AWR1S16R,CL04AWR1S17R CL04AWR1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
Grade 5*** Reading,2017 2016,SA05ARE1S17R SA05ARE1S16R,"DA05ARE1S17R DA05ARE1S16R
:unselected:
:unselected:","CA05ARE1S17R CA05ARE1S16R
:unselected:
:unselected:","CB05ARE1S17R CB05ARE1S16R
:unselected:","CH05ARE1S17R CH05ARE1S16R
:unselected:",CW05ARE1S17R CW05ARE1S16R,CI05ARE1S17R CI05ARE1S16R,C305ARE1S17R C305ARE1S16R,C405ARE1S17R C405ARE1S16R,C205ARE1S17R C205ARE1S16R,CS05ARE1S17R CS05ARE1S16R,CE05ARE1S17R CE05ARE1S16R,CL05ARE1S17R CL05ARE1S16R,,
Mathematics,2017 2016,SA05AMA1S17R SA05AMA1S16R,"DA05AMA1S17R DA05AMA1S16R
:unselected:
:unselected:","CA05AMA1S17R CA05AMA1S16R
:unselected:
:unselected:","CB05AMA1S17R CB05AMA1S16R
:unselected:
:unselected:",CH05AMA1S17R CH05AMA1S16R,CW05AMA1S17R CW05AMA1S16R,CI05AMA1S17R CI05AMA1S16R,C305AMA1S17R C305AMA1S16R,C405AMA1S17R C405AMA1S16R,C205AMA1S17R C205AMA1S16R,CS05AMA1S17R CS05AMA1S16R,CE05AMA1S17R CE05AMA1S16R,CL05AMA1S17R CL05AMA1S16R,,
Science,2017 2016,SA05ASC1S17R SA05ASC1S16R,"DA05ASC1S17R DA05ASC1S16R
:unselected:",CA05ASC1S17R CA05ASC1S16R,CB05ASC1S17R CB05ASC1S16R,CH05ASC1S17R CH05ASC1S16R,CW05ASC1S17R CW05ASC1S16R,CI05ASC1S17R CI05ASC1S16R,C305ASC1S17R C305ASC1S16R,C405ASC1S17R C405ASC1S16R,C205ASC1S17R C205ASC1S16R,CS05ASC1S17R CS05ASC1S16R,CE05ASC1S17R CE05ASC1S16R,CL05ASC1S17R CL05ASC1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
Grade 6,,,,,,,,,,,,,,,,
Reading,2017 2016,SA06ARE1S17R SA06ARE1S16R,"DA06ARE1S17R DA06ARE1S16R
:unselected: :unselected:",CA06ARE1S17R CA06ARE1S16R,CB06ARE1S17R CB06ARE1S16R,CH06ARE1S17R CH06ARE1S16R,CW06ARE1S17R CW06ARE1S16R,CI06ARE1S17R CI06ARE1S16R,C306ARE1S17R C306ARE1S16R,C406ARE1S17R C406ARE1S16R,C206ARE1S17R C206ARE1S16R,CS06ARE1S17R CS06ARE1S16R,CE06ARE1S17R CE06ARE1S16R,CL06ARE1S17R CL06ARE1S16R,,
Mathematics,2017 2016,SA06AMA1S17R SA06AMA1S16R,"DA06AMA1S17R DA06AMA1S16R
:unselected: :unselected:",CA06AMA1S17R CA06AMA1S16R,CB06AMA1S17R CB06AMA1S16R,CH06AMA1S17R CH06AMA1S16R,CW06AMA1S17R CW06AMA1S16R,CI06AMA1S17R CI06AMA1S16R,C306AMA1S17R C306AMA1S16R,C406AMA1S17R C406AMA1S16R,C206AMA1S17R C206AMA1S16R,CS06AMA1S17R CS06AMA1S16R,CE06AMA1S17R CE06AMA1S16R,CL06AMA1S17R CL06AMA1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
Grade 7,,,,,,,,,,,,,,,,
Reading,2017 2016,SA07ARE1S17R SA07ARE1S16R,"DA07ARE1S17R DA07ARE1S16R
:unselected: :unselected:",CA07ARE1S17R CA07ARE1S16R,CB07ARE1S17R CB07ARE1S16R,CH07ARE1S17R CH07ARE1S16R,CW07ARE1S17R CW07ARE1S16R,CI07ARE1S17R CI07ARE1S16R,C307ARE1S17R C307ARE1S16R,C407ARE1S17R C407ARE1S16R,C207ARE1S17R C207ARE1S16R,CS07ARE1S17R CS07ARE1S16R,CE07ARE1S17R CE07ARE1S16R,CL07ARE1S17R CL07ARE1S16R,,
Mathematics,2017 2016,SA07AMA1S17R SA07AMA1S16R,"DA07AMA1S17R DA07AMA1S16R
:unselected:",CA07AMA1S17R CA07AMA1S16R,CB07AMA1S17R CB07AMA1S16R,CH07AMA1S17R CH07AMA1S16R,CW07AMA1S17R CW07AMA1S16R,CI07AMA1S17R CI07AMA1S16R,C307AMA1S17R C307AMA1S16R,C407AMA1S17R C407AMA1S16R,C207AMA1S17R C207AMA1S16R,CS07AMA1S17R CS07AMA1S16R,CE07AMA1S17R CE07AMA1S16R,CL07AMA1S17R CL07AMA1S16R,,
Writing,2017 2016,SA07AWR1S17R SA07AWR1S16R,"DA07AWR1S17R DA07AWR1S16R
:unselected: :unselected:",CA07AWR1S17R CA07AWR1S16R,"CB07AWR1S17R CB07AWR1S16R
:unselected:",CH07AWR1S17R CH07AWR1S16R,CW07AWR1S17R CW07AWR1S16R,CI07AWR1S17R CI07AWR1S16R,C307AWR1S17R C307AWR1S16R,C407AWR1S17R C407AWR1S16R,C207AWR1S17R C207AWR1S16R,CS07AWR1S17R CS07AWR1S16R,CE07AWR1S17R CE07AWR1S16R,CL07AWR1S17R CL07AWR1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
Grade 8***,,,,,,,,,,,,,,,,
Reading,2017 2016,SA08ARE1S17R SA08ARE1S16R,"DA08ARE1S17R DA08ARE1S16R
:unselected:
:unselected:","CA08ARE1S17R CA08ARE1S16R
:unselected:","CB08ARE1S17R CB08ARE1S16R
:unselected:","CH08ARE1S17R CH08ARE1S16R
:unselected:",CW08ARE1S17R CW08ARE1S16R,CI08ARE1S17R CI08ARE1S16R,C308ARE1S17R C308ARE1S16R,C408ARE1S17R C408ARE1S16R,C208ARE1S17R C208ARE1S16R,CS08ARE1S17R CS08ARE1S16R,CE08ARE1S17R CE08ARE1S16R,CL08ARE1S17R CL08ARE1S16R,,
Mathematics,2017 2016,SA08AMA1S17R SA08AMA1S16R,"DA08AMA1S17R DA08AMA1S16R
:unselected: :unselected:","CA08AMA1S17R CA08AMA1S16R
:unselected:","CB08AMA1S17R CB08AMA1S16R
:unselected:","CH08AMA1S17R CH08AMA1S16R
:unselected:",CW08AMA1S17R CW08AMA1S16R,CI08AMA1S17R CI08AMA1S16R,C308AMA1S17R C308AMA1S16R,C408AMA1S17R C408AMA1S16R,C208AMA1S17R C208AMA1S16R,CS08AMA1S17R CS08AMA1S16R,CE08AMA1S17R CE08AMA1S16R,CL08AMA1S17R CL08AMA1S16R,,
Science,2017 2016,SA08ASC1S17R SA08ASC1S16R,"DA08ASC1S17R DA08ASC1S16R
:unselected:
:unselected:","CA08ASC1S17R CA08ASC1S16R
:unselected:",CB08ASC1S17R CB08ASC1S16R,"CH08ASC1S17R CH08ASC1S16R
:unselected:
:unselected:",CW08ASC1S17R CW08ASC1S16R,CI08ASC1S17R CI08ASC1S16R,C308ASC1S17R C308ASC1S16R,C408ASC1S17R C408ASC1S16R,C208ASC1S17R C208ASC1S16R,CS08ASC1S17R CS08ASC1S16R,CE08ASC1S17R CE08ASC1S16R,CL08ASC1S17R CL08ASC1S16R,,
Social Studies,2017 2016,SA08ASS1S17R SA08ASS1S16R,"DA08ASS1S17R DA08ASS1S16R
:unselected:
:unselected:","CA08ASS1S17R CA08ASS1S16R
:unselected:
:unselected:","CB08ASS1S17R CB08ASS1S16R
:unselected:",CH08ASS1S17R CH08ASS1S16R,CW08ASS1S17R CW08ASS1S16R,CI08ASS1S17R CI08ASS1S16R,C308ASS1S17R C308ASS1S16R,C408ASS1S17R C408ASS1S16R,C208ASS1S17R C208ASS1S16R,CS08ASS1S17R CS08ASS1S16R,CE08ASS1S17R CE08ASS1S16R,CL08ASS1S17R CL08ASS1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
End of Course,,,,,,,,,,,,,,,,
English I,2017,SA00AR11S17R,DA00AR11S17R,CA00AR11S17R,CB00AR11S17R,CH00AR11S17R,CW00AR11S17R,CI00AR11S17R,C300AR11S17R,C400AR11S17R,C200AR11S17R,CS00AR11S17R,CE00AR11S17R,CL00AR11S17R,,
,2016,SA00AR11S16R,DA00AR11S16R,CA00AR11S16R,CB00AR11S16R,CH00AR11S16R,CW00AR11S16R,CI00AR11S16R,C300AR11S16R,C400AR11S16R,C200AR11S16R,CS00AR11S16R,CE00AR11S16R,CL00AR11S16R,,
English II,2017 2016,SA00AR21S17R SA00AR21S16R,DA00AR21S17R DA00AR21S16R,"CA00AR21S17R CA00AR21S16R
:unselected:",CB00AR21S17R CB00AR21S16R,CH00AR21S17R CH00AR21S16R,CW00AR21S17R CW00AR21S16R,CI00AR21S17R CI00AR21S16R,C300AR21S17R C300AR21S16R,C400AR21S17R C400AR21S16R,C200AR21S17R C200AR21S16R,CS00AR21S17R CS00AR21S16R,CE00AR21S17R CE00AR21S16R,CL00AR21S17R CL00AR21S16R,,
Algebra I,2017 2016,SA00AA11S17R SA00AA11S16R,DA00AA11S17R DA00AA11S16R,"CA00AA11S17R CA00AA11S16R
:unselected:",CB00AA11S17R CB00AA11S16R,"CH00AA11S17R CH00AA11S16R
:unselected:
:unselected:",CW00AA11S17R CW00AA11S16R,CI00AA11S17R CI00AA11S16R,C300AA11S17R C300AA11S16R,C400AA11S17R C400AA11S16R,C200AA11S17R C200AA11S16R,CS00AA11S17R CS00AA11S16R,CE00AA11S17R CE00AA11S16R,CL00AA11S17R CL00AA11S16R,,
Biology,2017 2016,SA00ABI1S17R SA00ABI1S16R,DA00ABI1S17R DA00ABI1S16R,"CA00ABI1S17R CA00ABI1S16R
:unselected:",CB00ABI1S17R CB00ABI1S16R,CH00ABI1S17R CH00ABI1S16R,CW00ABI1S17R CW00ABI1S16R,CI00ABI1S17R CI00ABI1S16R,C300ABI1S17R C300ABI1S16R,C400ABI1S17R C400ABI1S16R,C200ABI1S17R C200ABI1S16R,CS00ABI1S17R CS00ABI1S16R,CE00ABI1S17R CE00ABI1S16R,CL00ABI1S17R CL00ABI1S16R,,
U.S. History,2017 2016,SA00AUS1S17R SA00AUS1S16R,DA00AUS1S17R DA00AUS1S16R,"CA00AUS1S17R CA00AUS1S16R
:unselected:",CB00AUS1S17R CB00AUS1S16R,CH00AUS1S17R CH00AUS1S16R,CW00AUS1S17R CW00AUS1S16R,CI00AUS1S17R CI00AUS1S16R,C300AUS1S17R C300AUS1S16R,C400AUS1S17R C400AUS1S16R,C200AUS1S17R C200AUS1S16R,CS00AUS1S17R CS00AUS1S16R,CE00AUS1S17R CE00AUS1S16R,CL00AUS1S17R CL00AUS1S16R,,
,,,,,,,,,,,,,,,,
,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,2017 2016,SA00A001S17R SA00A001S16R,"DA00A001S17R DA00A001S16R
:unselected:","CA00A001S17R CA00A001S16R
:unselected:
:unselected:",CB00A001S17R CB00A001S16R,"CH00A001S17R CH00A001S16R
:unselected:
:unselected:",CW00A001S17R CW00A001S16R,CI00A001S17R CI00A001S16R,C300A001S17R C300A001S16R,C400A001S17R C400A001S16R,C200A001S17R C200A001S16R,CS00A001S17R CS00A001S16R,CE00A001S17R CE00A001S16R,CL00A001S17R CL00A001S16R,,
Reading,2017 2016,SA00AR01S17R SA00AR01S16R,"DA00AR01S17R DA00AR01S16R
:unselected:","CA00AR01S17R CA00AR01S16R
:unselected:
:unselected:",CB00AR01S17R CB00AR01S16R,"CH00AR01S17R CH00AR01S16R
:unselected:
:unselected:",CW00AR01S17R CW00AR01S16R,CI00AR01S17R CI00AR01S16R,C300AR01S17R C300AR01S16R,C400AR01S17R C400AR01S16R,C200AR01S17R C200AR01S16R,CS00AR01S17R CS00AR01S16R,CE00AR01S17R CE00AR01S16R,CL00AR01S17R CL00AR01S16R,,
Mathematics,2017 2016,SA00AM01S17R SA00AM01S16R,"DA00AM01S17R DA00AM01S16R
:unselected:","CA00AM01S17R CA00AM01S16R
:unselected:
:unselected:","CB00AM01S17R CB00AM01S16R
:unselected:
:unselected:","CH00AM01S17R CH00AM01S16R
:unselected:
:unselected:",CW00AM01S17R CW00AM01S16R,CI00AM01S17R CI00AM01S16R,C300AM01S17R C300AM01S16R,C400AM01S17R C400AM01S16R,C200AM01S17R C200AM01S16R,CS00AM01S17R CS00AM01S16R,CE00AM01S17R CE00AM01S16R,CL00AM01S17R CL00AM01S16R,,
Writing,2017 2016,SA00AW01S17R SA00AW01S16R,"DA00AW01S17R DA00AW01S16R
:unselected:
:unselected:","CA00AW01S17R CA00AW01S16R
:unselected:
:unselected:","CB00AW01S17R CB00AW01S16R
:unselected:","CH00AW01S17R CH00AW01S16R
:unselected:
:unselected:",CW00AW01S17R CW00AW01S16R,CI00AW01S17R CI00AW01S16R,C300AW01S17R C300AW01S16R,C400AW01S17R C400AW01S16R,C200AW01S17R C200AW01S16R,CS00AW01S17R CS00AW01S16R,CE00AW01S17R CE00AW01S16R,CL00AW01S17R CL00AW01S16R,,
Science,2017 2016,SA00AC01S17R SA00AC01S16R,DA00AC01S17R DA00AC01S16R,"CA00AC01S17R CA00AC01S16R
:unselected:
:unselected:","CB00AC01S17R CB00AC01S16R
:unselected:","CH00AC01S17R CH00AC01S16R
:unselected:
:unselected:",CW00AC01S17R CW00AC01S16R,CI00AC01S17R CI00AC01S16R,C300AC01S17R C300AC01S16R,C400AC01S17R C400AC01S16R,C200AC01S17R C200AC01S16R,CS00AC01S17R CS00AC01S16R,CE00AC01S17R CE00AC01S16R,CL00AC01S17R CL00AC01S16R,,
Social Studies,2017 2016,SA00AS01S17R SA00AS01S16R,"DA00AS01S17R DA00AS01S16R
:unselected:","CA00AS01S17R CA00AS01S16R
:unselected:
:unselected:",CB00AS01S17R CB00AS01S16R,"CH00AS01S17R CH00AS01S16R
:unselected:
:unselected:",CW00AS01S17R CW00AS01S16R,CI00AS01S17R CI00AS01S16R,C300AS01S17R C300AS01S16R,C400AS01S17R C400AS01S16R,C200AS01S17R C200AS01S16R,CS00AS01S17R CS00AS01S16R,CE00AS01S17R CE00AS01S16R,CL00AS01S17R CL00AS01S16R,,
STAAR Percent at Meets Grade Level,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
Two or More Subjects,2017,SA00A004217R,DA00A004217R,CA00A004217R,CB00A004217R,CH00A004217R,CW00A004217R,CI00A004217R,C300A004217R,C400A004217R,C200A004217R,CS00A004217R,CE00A004217R,CL00A004217R,,
,2016,SA00A004216R,DA00A004216R,CA00A004216R,CB00A004216R,CH00A004216R,CW00A004216R,CI00A004216R,C300A004216R,C400A004216R,C200A004216R,CS00A004216R,CE00A004216R,CL00A004216R,,
Reading,2017 2016,SA00AR04217R SA00AR04216R,DA00AR04217R DA00AR04216R,CA00AR04217R CA00AR04216R,CB00AR04217R CB00AR04216R,CH00AR04217R CH00AR04216R,CW00AR04217R CW00AR04216R,CI00AR04217R CI00AR04216R,C300AR04217R C300AR04216R,C400AR04217R C400AR04216R,C200AR04217R C200AR04216R,CS00AR04217R CS00AR04216R,CE00AR04217R CE00AR04216R,CL00AR04217R CL00AR04216R,,
Mathematics,2017 2016,SA00AM04217R SA00AM04216R,DA00AM04217R DA00AM04216R,CA00AM04217R CA00AM04216R,CB00AM04217R CB00AM04216R,CH00AM04217R CH00AM04216R,CW00AM04217R CW00AM04216R,CI00AM04217R CI00AM04216R,C300AM04217R C300AM04216R,C400AM04217R C400AM04216R,C200AM04217R C200AM04216R,CS00AM04217R CS00AM04216R,CE00AM04217R CE00AM04216R,CL00AM04217R CL00AM04216R,,
Writing,2017 2016,SA00AW04217R SA00AW04216R,DA00AW04217R DA00AW04216R,CA00AW04217R CA00AW04216R,CB00AW04217R CB00AW04216R,CH00AW04217R CH00AW04216R,CW00AW04217R CW00AW04216R,CI00AW04217R CI00AW04216R,C300AW04217R C300AW04216R,C400AW04217R C400AW04216R,C200AW04217R C200AW04216R,CS00AW04217R CS00AW04216R,CE00AW04217R CE00AW04216R,CL00AW04217R CL00AW04216R,,
Science,2017 2016,SA00AC04217R SA00AC04216R,DA00AC04217R DA00AC04216R,CA00AC04217R CA00AC04216R,CB00AC04217R CB00AC04216R,CH00AC04217R CH00AC04216R,CW00AC04217R CW00AC04216R,CI00AC04217R CI00AC04216R,C300AC04217R C300AC04216R,C400AC04217R C400AC04216R,C200AC04217R C200AC04216R,CS00AC04217R CS00AC04216R,CE00AC04217R CE00AC04216R,CL00AC04217R CL00AC04216R,,
Social Studies,2017 2016,SA00AS04217R SA00AS04216R,DA00AS04217R DA00AS04216R,CA00AS04217R CA00AS04216R,CB00AS04217R CB00AS04216R,CH00AS04217R CH00AS04216R,CW00AS04217R CW00AS04216R,CI00AS04217R CI00AS04216R,C300AS04217R C300AS04216R,C400AS04217R C400AS04216R,C200AS04217R C200AS04216R,CS00AS04217R CS00AS04216R,CE00AS04217R CE00AS04216R,CL00AS04217R CL00AS04216R,,
STAAR Percent at Masters Grade Level,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,2017,SA00A003A17R,DA00A003A17R,CA00A003A17R,"CB00A003A17R
:unselected:",CH00A003A17R,CW00A003A17R,CI00A003A17R,C300A003A17R,C400A003A17R,C200A003A17R,CS00A003A17R,CE00A003A17R,CL00A003A17R,,
,2016,SA00A003A16R,DA00A003A16R,CA00A003A16R,CB00A003A16R,CH00A003A16R,CW00A003A16R,CI00A003A16R,C300A003A16R,C400A003A16R,C200A003A16R,CS00A003A16R,CE00A003A16R,CL00A003A16R,,
Reading,2017 2016,SA00AR03A17R SA00AR03A16R,DA00AR03A17R DA00AR03A16R,"CA00AR03A17R CA00AR03A16R
:unselected:",CB00AR03A17R CB00AR03A16R,CH00AR03A17R CH00AR03A16R,CW00AR03A17R CW00AR03A16R,CI00AR03A17R CI00AR03A16R,C300AR03A17R C300AR03A16R,C400AR03A17R C400AR03A16R,C200AR03A17R C200AR03A16R,CS00AR03A17R CS00AR03A16R,CE00AR03A17R CE00AR03A16R,CL00AR03A17R CL00AR03A16R,,
