Shared Services Arrangement Staff:,Contracted Instructional Staff:,DPSOTOFC,SPSOTOFC,,,,,,,,,,,,,
Shared Services Arrangement Staff:,Instructional Expenditure Ratio (download only),DPFEIERP,,,,,,,,,,,,,,
,Instructional Expenditure Ratio (download only),,,,,,,,,,,,,,,
,Program Information,"---------------- District
Count","----------------
Percent","----------------- Count
State","Percent
-----------------",,,,,,,,,,,
Student Enrollment by Program:,Student Enrollment by Program:,,,,,,,,,,,,,,,
Student Enrollment by Program:,Bilingual/ESL Education,DPETBILC,DPETBILP,SPETBILC,SPETBILP,,,,,,,,,,,
Student Enrollment by Program:,Career & Technical Education Gifted & Talented Education,DPETVOCC DPETGIFC,DPETVOCP DPETGIFP,SPETVOCC SPETGIFC,SPETVOCP SPETGIFP,,,,,,,,,,,
Student Enrollment by Program:,Special Education,DPETSPEC,DPETSPEP,SPETSPEC,SPETSPEP,,,,,,,,,,,
Teachers by Program (population served):,Teachers by Program (population served):,,,,,,,,,,,,,,,
Teachers by Program (population served):,Bilingual/ESL Education,DPSTBIFC,DPSTBIFP,SPSTBIFC,SPSTBIFP,,,,,,,,,,,
Teachers by Program (population served):,Career & Technical Education,DPSTVOFC,DPSTVOFP,SPSTVOFC,SPSTVOFP,,,,,,,,,,,
Teachers by Program (population served):,Compensatory Education,DPSTCOFC,DPSTCOFP,SPSTCOFC,SPSTCOFP,,,,,,,,,,,
Teachers by Program (population served):,Gifted & Talented Education,DPSTGIFC,DPSTGIFP,SPSTGIFC,SPSTGIFP,,,,,,,,,,,
Teachers by Program (population served):,Regular Education,DPSTREFC,DPSTREFP,SPSTREFC,SPSTREFP,,,,,,,,,,,
Teachers by Program (population served):,Special Education,DPSTSPFC,DPSTSPFP,SPSTSPFC,SPSTSPFP,,,,,,,,,,,
Teachers by Program (population served):,Other,DPSTOPFC,DPSTOPFP,SPSTOPFC,SPSTOPFP,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,
